commentID;comment;assessment;topic
29;It’s very hard to come to work every day with a smile on your face when you know your work counts for nothing except for management’s bonuses and pizza or ice cream or something totally insulting.;negative;retention
30;Talent is leaking out of this company.;negative;retention
31;Some people are actually afraid of management;negative;retention
32;This company is too unpredictable. I always feel layoffs are around the corner.;negative;retention
33;This is not a best place to work. The senior leadership lacks ethics and morals.;negative;retention
34;Please consider researching the amount of employees who are out on medical leave... Aka stress leave.;negative;retention
35;Morale in our company is very low employees are having nightmares and are afraid to come to work.;negative;retention
36;Where i come from actions speak louder than words you can talk about valuing employees all you want, but when you lay people off, give them little to no raises, and spend your time and effort praising fake successes, it rings hollow.;negative;retention
37;This company is part of a long downhill death;negative;retention
38;If you aren’t in the in crowd, good luck. They only promote those they can manipulate;negative;retention
39;Stop firing people under the pretense of reorganization only to post those same positions.;negative;retention
40;Keep your mouth shut, show up, & don't rock the boat;negative;retention
41;The VP of HR does not give her time for anyone, as if she is god. We beg for opportunities to speak with her, and we are ignored.;negative;retention
42;There is a lot of nepotism & favoritism at this company. Paths to;negative;retention
43;Advancement is unclear. It appears to be primarily a buddy system. It is so bad, that I’ve gotten to the point where i no longer hope for advancement and have decided to just consider this a means to an end.;negative;retention
44;This place sucks! They do not care about customers or employees. It is not safe for customers because management is cutting corners.;negative;retention
45;Please get our place clean. It is filthy and has been for the past year. I am embarrassed to have anyone know i work in such a filthy place. And you ask if this is the best place to work? Please.;negative;retention
46;Upper management in my office tends to talk down to employees, and has a mindset that all employees are replaceable.;negative;retention
47;I am nothing but a number here.;negative;retention
48;My manager mistreats the staff and bullies people when she is in a bad mood and targets people. That is why people have left. I wish someone in management would help us.;negative;retention
49;My managers/supervisor treat us like we’re robots we are real humans...with lives and families outside of work.;negative;retention
50;This is the best company I’ve worked at, because we believe in people over profits.;positive;recognition
51;The benefits that come from working here are above and beyond the monetary rewards we receive.;positive;recognition
52;I have received more positive feedback and recognition here than anywhere else in my life. My personal confidence level has gone up considerably. I love it here!;positive;recognition
53;While the workload and responsibilities are on the higher end, we are consistently rewarded with praise, company successes, customer compliments, and feedback.;positive;recognition
54;Management gives constructive criticism when it’s needed and praise when it’s due.;positive;recognition
55;I appreciate the small incentives general kindness, and thank you for a job well done.;positive;recognition
56;Lack of recognition is not an issue here.;positive;recognition
57;We celebrate work achievements like they’re birthday parties.;positive;recognition
58;Senior management talks with us to find out what motivates us to strive for company goals. They use those means of motivation to show that they really care about their employees.;positive;recognition
59;You know you’ve done something right when your manager gives you an atta’ boy!;positive;recognition
60;I have a great supervisor who listens and considers my thoughts and ideas.;positive;recognition
61;Leadership genuinely cares about each one of us & strives to provide us with practical guidance & an atmosphere in which we can succeed & be happy.;positive;recognition
62;Promotions are given to people who earn it, despite seniority.;positive;recognition
63;They treat you like a person rather than a subordinate.;positive;recognition
64;They show that although I’m not perfect, I’m still a great asset who they appreciate.;positive;recognition
65;We’re given the training to learn, the tools to do our jobs, and the opportunity to advance within the company.;positive;recognition
66;We make recognition fun with silly awards like most energetic on Mondays and best barista.;positive;recognition
67;Recognition is a constant reminder that we’re headed in the right direction.;positive;recognition
68;Management cares about people and shows it. We are given the tools we need to get the job done.;positive;recognition
69;I often receive positive feedback from senior management. I’m just grateful they take the time to recognize me.;positive;recognition
70;I absolutely love working for this company. My direct manager empowers me and shows her appreciation for my work ethic regularly.;positive;recognition
71;You work hard and get compensated praise, promotion, and genuine for appreciation.;positive;recognition
72;My employer does so much to make every employee feel like an essential component to the company’s success. I’d just like to say thanks.;positive;recognition
73;I always feel appreciated.;positive;recognition
74;Good work never goes unnoticed.;positive;recognition
75;We’re led by power-hungry individuals who are all-too willing to punish & oppress subordinates.;negative;recognition
76;It’s not what you do, it’s what people think you do. Try to take credit for other people’s work.;negative;recognition
77;As time has passed, I’ve become more and more convinced that i am invisible. My manager does not care about my growth or development at all. I am very much looking forward to finding a job with a different company.;negative;recognition
78;As an employee, i don’t feel valued.;negative;recognition
79;Would a ‘thank you’ be so hard?;negative;recognition
80;Please, please, please just treat me like a human being.;negative;recognition
81;Threatening termination is not the kind of attention employees want.;negative;recognition
82;"Quit treating us like elementary kids! We’re adults; give us real appreciation.";negative;recognition
83;There is absolutely no motivation to try when only ‘in-crowd’ employees get promoted.;negative;recognition
84;I’ve never been told that I’m doing a good job.;negative;recognition
85;Hard workers are not appreciated. They simply get used.;negative;recognition
86;Leadership does a terrible job of noticing, let alone recognizing, employees. There’s no incentive anymore.;negative;recognition
87;"Managers don’t care about effort; they only care if the work gets done.";negative;recognition
88;Recognition is given to those who put in the most hours, not those who do the best work.;negative;recognition
89;It seems as though threats of error are the normal means of motivation.;negative;recognition
90;We just go through the motions so we don’t get yelled at and can get home by five.;negative;recognition
91;"Employees are rewarded for throwing coworkers under the bus; no wonder our culture blows.";negative;recognition
92;Human assets are of zero value.;negative;recognition
93;I’m sick of employees with poor reviews receiving the same benefits as those with great reviews.;negative;recognition
94;It’s all about money and numbers here. People aren’t the most important thing anymore.;negative;recognition
95;Overworked. Unappreciated. Underpaid.;negative;recognition
96;If I contribute to the organization’s success, I know I will be recognized, said no one at this company, ever.;negative;recognition
97;There are too many slackers getting paid more than me.;negative;recognition
98;Management needs to value everyone, regardless of position or tenure. We are all valuable, and we should be treated that way.;negative;recognition
99;Employees here are treated as expendable.;negative;recognition
100;When asked what the company could improve on: nothing. They’ve honed the art of this business down to a science.;positive;general
101;I can’t say enough good things about this place. ;positive;general
102;I have been in this business for over 20 years. This is, without a doubt, the best atmosphere and most rewarding place I have ever had the opportunity in which to work.;positive;general
103;I feel more at home, more comfortable, more in control, and more supported than i ever have before.;positive;general
104;This is such an amazing company led by incredible leaders.;positive;general
105;This job is unique & rewarding.;positive;general
106;I love working for this company. When I first started, I thought it was too good to be true but later found out that it isn’t!;positive;general
107;I feel like everyone’s opinion matters.;positive;general
108;I can honestly say, “I love my job.”;positive;general
109;I have the utmost respect for leadership and my coworkers.;positive;general
110;I foresee long-term commitment and loyalty.;positive;general
111;This is my home.;positive;general
112;This will be the place I retire from.;positive;general
113;This employer genuinely cares for your growth, both professionally and personally.;positive;general
114;Working for this company is like working with family. We are strict, but loved.;positive;general
115;This place is so fun! We get surprises all of the time.;positive;general
116;It’s obvious management is doing everything possible to improve our workplace.;positive;general
117;You’ll have to carry me out when I stop breathing.;positive;general
118;I have been here about a year now, and I have not heard any grumbling about management or the company or even about co-workers. I love it!;positive;general
119;It is an honor to work with such talented coworkers.;positive;general
120;The environment here is intellectually stimulating. I am motivated to jump out of bed in the morning.;positive;general
121;This job is truly a blessing.;positive;general
122;I can’t imagine working anywhere else, ever.;positive;general
123;Honesty and integrity are guiding principles. That mentality starts at the top and trickles down throughout the entire ofﬁce.;positive;general
124;The bar for professionalism and productivity is very high, yet the feeling of caring for each employee runs deep.;positive;general
125;Morons are running this place.;negative;general
126;It’s like working for the gestapo.;negative;general
127;Leadership comes with hidden agendas, which gives a sense of fear, disrespect, uncertainty, and distrust.;negative;general
128;Leadership needs to step it up!;negative;general
129;We keep finding new and innovative ways to be counter-productive.;negative;general
130;Several recent business decisions have made me seriously question the integrity of the leaders at this organization.;negative;general
131;“This company” and “productive workplace” don’t belong in the same sentence.;negative;general
132;"It's not about the people anymore; it's about how much money can be made.";negative;general
133;Managers act like they’re entitled to everything, and we’re just expected to stand there and lick their boots.;negative;general
134;The overall morale of employees could not be lower.;negative;general
135;This office makes me feel like a bother.;negative;general
136;You are the main reason I want to quit.;negative;general
137;I am sick of working for these people.;negative;general
138;They impose fear by telling us we are replaceable and disposable.;negative;general
139;We do not care about you. You are lower than dirt.;negative;general
140;It’s all I can do to make myself come to work in such a mismanaged environment.;negative;general
141;This place sucks, but I have to stay. I just hope the leaders don’t eat up my pension and screw me after 30 years.;negative;general
142;There are zero opportunities for promotion at this organization.;negative;general
143;They’ve finally stopped the beating.;negative;general
144;If the economy were better, I’d be out of here in a heartbeat.;negative;general
145;Stop treating me like I’m stupid.;negative;general
146;I can barely afford to work here anymore.;negative;general
147;When I express my concerns, I hear, “there’s a line out the door of people qualified to do your job.”;negative;general
148;Leadership gets pleasure out of us doing something wrong.;negative;general
149;I can’t wait to get off this sinking ship.;negative;general
